query,company_name,company_link,phone,website,address,categories
hotel,Restaurant & Hotel Schäfli,https://search.ch/tel/siebnen/glarnerstrasse-59/restaurant-hotel-schaefli,055 440 84 36,https://www.hotel-schaefli.ch/de,"Glarnerstrasse 59, 8854 Siebnen SZ","Restaurant, Hotel, Take Away, ..."
hotel,Hotel & Landgasthof Löwen,https://search.ch/tel/sins/luzernerstrasse-22/hotel-landgasthof-loewen,041 787 11 32,https://www.loewen-sins.ch/,"Luzernerstrasse 22, 5643 Sins AG","Restaurant, Hotel, Schweizerische Küche, ..."
hotel,Seehof Hotel Restaurant,https://search.ch/tel/walenstadt/seestrasse-104/seehof-hotel-restaurant,081 735 12 45,http://www.seehof-walenstadt.ch/,"Seestrasse 104, 8880 Walenstadt SG","Restaurant, Hotel, Schweizerische Küche, ..."
hotel,Höfli,https://search.ch/tel/altdorf/hellgasse-20/hoefli,041 875 02 75,https://www.hotel-hoefli.ch/,"Hellgasse 20, 6460 Altdorf UR","Hotel, Restaurant"
hotel,Restaurant Hotel Seeblick,https://search.ch/tel/moerigen/hauptstrasse-2/restaurant-hotel-seeblick,032 397 07 07,https://www.seeblick.net/,"Hauptstrasse 2, 2572 Mörigen BE","Hotel, Restaurant, Fischspezialitäten, ..."
hotel,Hotel Restaurant zum Sternen,https://search.ch/tel/wuerenlingen/endingerstrasse-7/hotel-restaurant-zum-sternen,056 297 40 00,http://www.sternen-wuerenlingen.ch/,"Endingerstrasse 7, 5303 Würenlingen AG","Restaurant, Bar, Schweizerische Küche, ..."
hotel,Derby Hotel & Restaurant,https://search.ch/tel/grindelwald/dorfstrasse-75/derby-hotel-restaurant,033 854 54 61,http://www.derby-grindelwald.ch/,"Dorfstrasse 75, 3818 Grindelwald BE","Restaurant, Hotel, Sauna, ..."
hotel,Restaurant & Hotel Frohsinn AG,https://search.ch/tel/kuessnacht-am-rigi/zugerstrasse-5/restaurant-hotel-frohsinn-ag,041 850 14 14,http://www.rest-frohsinn.ch/,"Zugerstrasse 5, 6403 Küssnacht am Rigi SZ","Restaurant, Hotel"
hotel,Hotel-Restaurant Eierhals Royal,https://search.ch/tel/morgarten/hauptseestrasse-61/hotel-restaurant-eierhals-royal,041 754 50 50,https://www.hotel-eierhals.ch/,"Hauptseestrasse 61, 6315 Morgarten ZG","Restaurant, Hotel"
hotel,Hotel Restaurant Falkenburg St. Gallen,https://search.ch/tel/st-gallen/falkenburgstrasse-25/hotel-restaurant-falkenburg-st-gallen,071 222 55 81,https://www.falkenburgsg.ch/,"Falkenburgstrasse 25, 9000 St. Gallen","Restaurant, Hotel, Bankett, ..."
hotel,Hotel Restaurant Seeblick Tel. 032 397 07 07,https://search.chhttps://search.ch/tel/moerigen/hauptstrasse-2/restaurant-hotel-seeblick,,,,"Hotel, Mörigen"
hotel,Alpina,https://search.chhttps://search.ch/tel/grindelwald/kreuzweg-9/hotel-und-restaurant-alpina,,,,"Hotel, Grindelwald"
hotel,Alpenhof,https://search.chhttps://search.ch/tel/grindelwald/kreuzweg-36/alpenhof,,,,"Hotel, Grindelwald"
hotel,"Hotel Alpha, Garni",https://search.ch/tel/luzern/zaehringerstrasse-24/hotel-alpha-garni,+41 41 240 42 80,http://www.hotelalpha.ch/,"Zähringerstrasse 24, 6003 Luzern","Pension, Hotel, Bed and Breakfast, ..."
hotel,Hotel Hirschen,https://search.ch/tel/langnau-i-e/dorfstrasse-17/hotel-hirschen,+41 34 402 15 17,http://www.hirschen-langnau.ch/,"Dorfstrasse 17, 3550 Langnau im Emmental BE","Restaurant, Hotel, Take Away, ..."
hotel,Hotel Restaurant Anker,https://search.ch/tel/teufen/dorf-10/anker-hotel-restaurant,+41 71 333 13 45,http://www.anker-teufen.ch/,"Dorf 10, 9053 Teufen AR","Restaurant, Hotel"
hotel,Hotel Restaurant Rischli,https://search.ch/tel/soerenberg/rischlistrasse-88/hotel-restaurant-rischli,+41 41 488 12 40,http://www.hotel-rischli.ch/,"Rischlistrasse 88, 6174 Sörenberg LU","Restaurant, Hotel, Wellness"
hotel,Bellevue restaurant pizzeria,https://search.ch/tel/saignelegier/rue-de-la-gruere-13/bellevue-restaurant-pizzeria,+41 32 951 16 20,http://www.hotels-saignelegier.ch/,"Rue de la Gruère 13, 2350 Saignelégier JU","Pizzeria, Hotel, Restaurant, ..."
hotel,Restaurant Hotel Chemihütte,https://search.ch/tel/aeschiried/ebenenfeld-4/restaurant-hotel-chemihuette,+41 33 654 46 81,http://www.chemihuette.ch/,"Ebenenfeld 4, 3703 Aeschiried BE","Restaurant, Hotel"
hotel,Hotel und Speiserestaurant Alpenblick,https://search.ch/tel/schwende/kuechenrain-5/hotel-und-speiserestaurant-alpenblick,+41 71 799 11 73,http://www.alpenblick-appenzell.ch/,"Küchenrain 5, 9057 Schwende AI","Hotel, Restaurant, Schweizerische Küche, ..."
hotel,Parkhotel Gunten,https://search.ch/tel/gunten/seestrasse-90/parkhotel-gunten-beach-spa,+41 33 252 88 52,http://www.parkhotel-gunten.swiss/,"Seestrasse 90, 3654 Gunten BE","Hotel, Wellness, Restaurant"
