query,company_name,company_link,phone,website,address,categories
hotel 8,Hotel Cinema 8,https://search.ch/tel/schoeftland/feldackerstrasse-1/hotel-cinema-8,062 888 14 88,,"Feldackerstrasse 1, 5040 Schöftland AG",Hotel
hotel 8,No.8 Boutique Hotel Interlaken,https://search.ch/tel/unterseen/spielmatte-8/no-8-boutique-hotel-interlaken,033 820 07 08,,"Spielmatte 8, 3800 Unterseen BE",
hotel 8,Gasthof Pizzeria Weingarten,https://search.ch/tel/affoltern-am-albis/untere-bahnhofstrasse-8/gasthof-pizzeria-weingarten-2,,http://www.weingarten.ch/,"Untere Bahnhofstrasse 8, 8910 Affoltern am Albis ZH","Restaurant, Pizzeria, Hotel, ..."
hotel 8,Grotto Flora B&B,https://search.ch/tel/agra/via-municipio-8/grotto-flora-b-b,091 994 15 67,http://www.grottoflora.com/,"Via Municipio 8, 6927 Agra TI","Restaurant, Bankett, Bed and Breakfast, ..."
hotel 8,ZENTRUM RÄMISMÜHLE,https://search.ch/tel/raemismuehle/muehlestrasse-8/zentrum-raemismuehle,052 396 44 44,http://www.zentrum-raemismuehle.ch/,"Mühlestrasse 8, 8487 Rämismühle ZH","Alters- und Pflegeheim, Alterssiedlung Alterswohnung, Seminar, ..."
hotel 8,Sporthotel Wildstrubel,https://search.ch/tel/lenk-im-simmental/lenkstrasse-8/sporthotel-wildstrubel,033 736 31 11,http://www.wildstrubel.ch/,"Lenkstrasse 8, 3775 Lenk im Simmental BE","Hotel, Restaurant"
hotel 8,Hôtel des Patients Lausanne SA,https://search.ch/tel/lausanne/avenue-de-la-sallaz-8/hotel-des-patients-lausanne-sa,,,"Avenue de la Sallaz 8, 1005 Lausanne",Hotel
hotel 8,Hôtel des Horlogers Le Spa by Alpeor,https://search.ch/tel/le-brassus/route-de-france-8/hotel-des-horlogers-le-spa-by-alpeor,021 845 08 45,https://www.hoteldeshorlogers.com/,"Route de France 8, 1348 Le Brassus VD","Spa, Wellness, Hotel"
hotel 8,Gasthof zum Roten Kreuz,https://search.ch/tel/giffers/dorfplatz-8/gasthof-zum-roten-kreuz,026 418 11 25,http://www.aubergedelacroixrouge.ch/,"Dorfplatz 8, 1735 Giffers FR","Restaurant, Hotel, Bankett"
hotel 8,Buffet de la Gare,https://search.ch/tel/chateau-doex/route-de-la-gare-8/buffet-de-la-gare,026 924 77 17,https://www.buffet-doex.com/,"Route de la Gare 8, 1660 Château-d'Oex VD","Restaurant, Hotel"
