query,company_name,company_link,phone,website,address,categories
restaurant,Restaurant zur alten Post,https://search.ch/tel/oberwil/weiherweg-3/restaurant-zur-alten-post,061 401 44 55,http://www.xn--restaurant-pstli-xwb.ch/,"Weiherweg 3, 4104 Oberwil BL","Restaurant, Pizzeria, Take Away, ..."
restaurant,Restaurant & Hotel Schäfli,https://search.ch/tel/siebnen/glarnerstrasse-59/restaurant-hotel-schaefli,055 440 84 36,https://www.hotel-schaefli.ch/de,"Glarnerstrasse 59, 8854 Siebnen SZ","Restaurant, Hotel, Take Away, ..."
restaurant,Beck Mathys GmbH,https://search.ch/tel/schoeftland/dorfstrasse-29/beck-mathys-gmbh,062 721 10 44,http://www.beck-mathys.ch/,"Dorfstrasse 29, 5040 Schöftland AG","Bäckerei Konditorei, Confiserie, Restaurant"
restaurant,Illycafé AG,https://search.ch/tel/thalwil/wiesengrundstrasse-1/illycafe-ag,044 723 10 20,http://www.illycafe.ch/,"Wiesengrundstrasse 1, 8800 Thalwil ZH","Kaffeerösterei, Kaffeehandel, Kaffeeprodukte, ..."
restaurant,Le trait d'union,https://search.ch/tel/sion/rue-de-lausanne-45/le-trait-dunion,027 346 53 64,https://www.orif.ch/fr/nos-restaurants/le-trait-dunion,"Rue de Lausanne 45, 1950 Sion VS","Restaurant, Take Away"
restaurant,Baldegger + Sortec AG Kassensysteme Schweiz für die Gastronomie und den Handel,https://search.ch/tel/belp/buetzackerweg-4/baldegger-sortec-ag-kassensysteme-schweiz-fuer-die-gastronomie-und-den-handel,031 818 20 00,http://www.baldeggersortec.ch/,"Bützackerweg 4, 3123 Belp BE","Kassensysteme, Zahlungssysteme, Registrierkassen, ..."
restaurant,Café-Konditorei Schlüssel AG,https://search.ch/tel/menzingen/neudorfstrasse-5/cafe-konditorei-schluessel-ag,041 755 25 52,http://www.diezugerkirschtorte.ch/,"Neudorfstrasse 5, 6313 Menzingen ZG","Bäckerei Konditorei, Tea-Room, Restaurant"
restaurant,Château de Villa,https://search.ch/tel/sierre/rue-sainte-catherine-4/chateau-de-villa,027 455 18 96,http://www.chateaudevilla.ch/,"Rue Sainte-Catherine 4, 3960 Sierre VS","Restaurant, Vinothek, Wein Weinhandel, ..."
restaurant,VIGIMED - Centre médical Martigny,https://search.ch/tel/martigny/rue-du-leman-18b/vigimed-centre-medical-martigny,027 775 55 75,https://www.vigimed.ch/,"Rue du Léman 18B, 1920 Martigny VS","Medizinisches Zentrum, Gastronomiedienstleistungen, Restaurant"
restaurant,Seehof Hotel Restaurant,https://search.ch/tel/walenstadt/seestrasse-104/seehof-hotel-restaurant,081 735 12 45,http://www.seehof-walenstadt.ch/,"Seestrasse 104, 8880 Walenstadt SG","Restaurant, Hotel, Schweizerische Küche, ..."
restaurant,Restaurant Accademia del Gusto Tel. 044 241 62 43,https://search.chhttps://search.ch/tel/zuerich/rotwandstrasse-48/restaurant-accademia-del-gusto,,,,"Restaurant, Zürich"
restaurant,PCMS Sàrl,https://search.chhttps://search.ch/tel/granges/route-du-robinson-100/cafe-restaurant-robinson,,,,"Restaurant, Granges"
restaurant,Restaurant Golden Thai Food,https://search.chhttps://search.ch/tel/thalwil/zuercherstrasse-59/restaurant-golden-thai-food,,,,"Restaurant, Thalwil"
restaurant,Hotel du Grand-St-Bernard,https://search.chhttps://search.ch/tel/liddes/rue-du-fond-de-ville-1/hotel-du-grand-st-bernard,,,,"Restaurant, Liddes"
restaurant,Etzliberg,https://search.chhttps://search.ch/tel/thalwil/etzlibergstrasse-14/etzliberg,,,,"Restaurant, Thalwil"
restaurant,Restaurant - ATABLE -,https://search.chhttps://search.ch/tel/sierre/route-de-sion-38/restaurant-atable,,,,"Restaurant, Sierre"
restaurant,Le Bourgeois,https://search.chhttps://search.ch/tel/sierre/avenue-du-rothorn-2/le-bourgeois,,,,"Restaurant, Sierre"
restaurant,Le Resto Verso,https://search.chhttps://search.ch/tel/sion/avenue-de-france-15/le-resto-verso,,,,"Restaurant, Sion"
restaurant,Le Patio,https://search.chhttps://search.ch/tel/granges/route-du-moulin-1/le-patio-restaurant,,,,"Restaurant, Granges"
restaurant,Château de Villa,https://search.chhttps://search.ch/tel/sierre/rue-sainte-catherine-4/chateau-de-villa,,,,"Restaurant, Sierre"
restaurant,Restaurant zur alten Post - Tel. +41 61 401 44 55,https://search.chhttps://search.ch/tel/oberwil/weiherweg-3/restaurant-zur-alten-post,,,,"Restaurant, Oberwil"
restaurant,"Hotel Restaurant Seehof, Walenstadt - Tel. +41 81 735 12 45",https://search.chhttps://search.ch/tel/walenstadt/seestrasse-104/seehof-hotel-restaurant,,,,"Restaurant, Walenstadt"
restaurant,Ristorante Belvedere - italienische Spezialitäten Tel. +41 61 731 42 87,https://search.chhttps://search.ch/tel/hofstetten/fluehstrasse-30/ristorante-belvedere,,,,"Restaurant, Hofstetten"
restaurant,Plan-Cerisier,https://search.chhttps://search.ch/tel/martigny-croix/les-guieres-15/restaurant-plan-cerisier,,,,"Restaurant, Martigny-Croix"
restaurant,Restaurant & Ferienhaus Gottschalkenberg,https://search.chhttps://search.ch/tel/alosen/gottschalkenberg-1/ferienhaus-gottschalkenberg-2,,,,"Restaurant, Alosen"
restaurant,Giorgio,https://search.chhttps://search.ch/tel/sion/espace-des-remparts-14/giorgio,,,,"Restaurant, Sion"
restaurant,Taverne Evolénarde,https://search.chhttps://search.ch/tel/evolene/rue-centrale-23/taverne-evolenarde-2,,,,"Restaurant, Evolène"
restaurant,Restaurant Le 360,https://search.chhttps://search.ch/tel/martigny/rue-du-leman-18b/restaurant-le-360,,,,"Restaurant, Martigny"
restaurant,Hotel Restaurant Morgarten,https://search.chhttps://search.ch/tel/morgarten/warthstrasse-41/gastro-aegerisee,,,,"Restaurant, Morgarten"
restaurant,La Villa,https://search.chhttps://search.ch/tel/sierre/avenue-general-guisan-27/la-villa-restaurant,,,,"Restaurant, Sierre"
restaurant,Terminal 60 - Restaurant de l'Aéroport,https://search.chhttps://search.ch/tel/sion/route-de-laeroport-60/terminal-60-restaurant-de-laeroport,,,,"Restaurant, Sion"
restaurant,Restaurant Siam Thai,https://search.chhttps://search.ch/tel/martigny/rue-marc-morand-4/restaurant-siam-thai,,,,"Restaurant, Martigny"
restaurant,Tisch55,https://search.chhttps://search.ch/tel/thalwil/tischenloostrasse-55/restaurant-tisch55-2,,,,"Restaurant, Thalwil"
